snapshot,DK demand [MW],Battery charge [MW],DK solar generation [MW],DK onwind generation [MW],DK offwind generation [MW],DK gas CCGT generation [MW],DK coal generation [MW],DK nuclear generation [MW],DK exchange with NO [MW],DK exchange with SE [MW],DK exchange with DE [MW]
2016-01-21 19:00:00,4940.62,0.0,0.0,0.0,941.7682817103845,556.0308748941939,0.0,0.0,419.2736144651404,1204.2736144651403,1819.2736144651406
2016-01-21 20:00:00,4633.19,0.0,0.0,0.0,938.0321284724089,556.0308748941939,0.0,0.0,318.04233221113213,1103.0423322111321,1718.042332211132
2016-01-21 21:00:00,4258.69,0.0,0.0,0.0,1161.256548368924,556.0308748941939,0.0,0.0,118.8008589122938,903.8008589122938,1518.8008589122937
2016-01-21 22:00:00,3918.38,0.0,0.0,0.0,1535.2583707773026,556.0308748941939,0.0,0.0,-119.30308189049876,665.6969181095012,1280.6969181095012
2016-01-21 23:00:00,3702.24,0.0,0.0,0.0,1697.8454530643755,556.0308748941939,0.0,0.0,-245.54544265285656,539.4545573471435,1154.4545573471435
2016-01-22 00:00:00,3586.23,0.0,0.0,0.0,1848.5369669960555,556.0308748941939,0.0,0.0,-334.4459472967498,450.5540527032502,1065.5540527032501
2016-01-22 01:00:00,3536.65,0.0,0.0,0.0,1724.4709129212129,556.0308748941939,0.0,0.0,-309.6172626051355,475.3827373948645,1090.3827373948645
2016-01-22 02:00:00,3540.17,0.0,0.0,0.0,1682.6002300818318,556.0308748941939,0.0,0.0,-294.48703499200855,490.51296500799145,1105.5129650079914
2016-01-22 03:00:00,3612.47,0.0,0.0,0.0,1843.5554293454215,556.0308748941939,0.0,0.0,-324.0387680798719,460.9612319201281,1075.961231920128
2016-01-22 04:00:00,3876.04,0.0,0.0,0.0,1843.1689307345964,556.0308748941939,0.0,0.0,-236.0532685429301,548.9467314570699,1163.94673145707
2016-01-22 05:00:00,4532.03,0.0,0.0,0.0,1978.786998844099,556.0308748941939,0.0,0.0,-62.59595791276442,722.4040420872356,1337.4040420872357
2016-01-22 06:00:00,5265.35,0.0,0.0,0.0,2098.4297910394994,556.0308748941939,0.0,0.0,141.96311135543584,926.9631113554359,1541.9631113554358
2016-01-22 07:00:00,5460.54,0.0,21.631740847031907,0.0,2323.7584811505067,556.0308748941939,0.0,0.0,124.7063010360891,909.706301036089,1524.7063010360891
2016-01-22 08:00:00,5475.8,0.0,439.39473595533565,0.0,2460.836655123126,556.0308748941939,0.0,0.0,-55.154088657552094,729.845911342448,1344.845911342448
2016-01-22 09:00:00,5450.29,0.0,1561.9919536627622,0.0,2473.891719310995,556.0308748941939,0.0,0.0,-442.20818262265055,342.79181737734945,957.7918173773494
2016-01-22 10:00:00,5327.64,0.0,2512.436567129227,0.0,2570.988759208267,556.0308748941939,0.0,0.0,-832.2720670772294,-47.272067077229316,567.7279329227706
2016-01-22 11:00:00,5116.48,0.0,2894.5973220934575,0.0,2871.4699569797017,556.0308748941939,0.0,0.0,-1130.206051322451,-345.206051322451,269.79394867754894
2016-01-22 12:00:00,4940.95,0.0,2839.165986172938,0.0,3173.926592095353,0.0,0.0,0.0,-1085.714192756097,-300.71419275609713,314.285807243903
2016-01-22 13:00:00,4756.58,0.0,2027.2997125077716,0.0,3171.564656140311,0.0,0.0,0.0,-875.7614562160276,-90.76145621602753,524.2385437839724
2016-01-22 14:00:00,4696.74,0.0,821.7808215533893,0.0,3114.491694608478,0.0,0.0,0.0,-474.84417205395584,310.1558279460441,925.1558279460442
2016-01-22 15:00:00,4908.32,0.0,49.57273944111479,0.0,3396.16329331976,0.0,0.0,0.0,-240.80534425362507,544.1946557463749,1159.194655746375
2016-01-22 16:00:00,5471.83,0.0,0.22533063382324905,0.0,3675.6447332363664,556.0308748941939,0.0,0.0,-315.0236462547944,469.97635374520564,1084.9763537452056
2016-01-22 17:00:00,5304.2,0.0,0.0,0.0,4421.844717869273,556.0308748941939,0.0,0.0,-619.5585309211559,165.4414690788441,780.4414690788441
2016-01-22 18:00:00,4912.58,0.0,0.0,0.0,4776.220999705757,0.0,0.0,0.0,-682.8803332352524,102.1196667647476,717.1196667647476
2016-01-22 19:00:00,4539.23,0.0,0.0,0.0,4860.735362606169,0.0,0.0,0.0,-835.5017875353897,-50.50178753538967,564.4982124646103
2016-01-22 20:00:00,4277.4,0.0,0.0,0.0,4833.422794107865,0.0,0.0,0.0,-913.6742647026218,-128.67426470262185,486.3257352973782
2016-01-22 21:00:00,3997.42,0.0,0.0,0.0,4758.613840768171,0.0,0.0,0.0,-982.0646135893903,-197.06461358939032,417.9353864106096
2016-01-22 22:00:00,3701.02,0.0,0.0,0.0,4622.394552597384,0.0,0.0,0.0,-1035.458184199128,-250.45818419912803,364.54181580087186
2016-01-22 23:00:00,3464.53,0.0,0.0,0.0,4231.000292701879,0.0,0.0,0.0,-983.823430900626,-198.82343090062614,416.1765690993739
2016-01-23 00:00:00,3323.16,0.0,0.0,0.0,3624.541028027276,556.0308748941939,0.0,0.0,-701.0344446038816,-385.68872915879456,229.3112708412055
2016-01-23 01:00:00,3242.99,0.0,0.0,0.0,2865.7583663975092,556.0308748941939,0.0,0.0,-787.9330804305678,-2.9330804305677702,612.0669195694322
2016-01-23 02:00:00,3235.08,0.0,0.0,0.0,2132.484613082196,556.0308748941939,0.0,0.0,-546.1451626587966,238.8548373412033,853.8548373412034
2016-01-23 03:00:00,3274.11,0.0,0.0,0.0,1752.6853115114418,556.0308748941939,0.0,0.0,-406.5353954685452,378.4646045314548,993.4646045314548
2016-01-23 04:00:00,3367.67,0.0,0.0,0.0,1222.9245489405662,0.0,0.0,0.0,-13.418182980188728,771.5818170198113,1386.5818170198113
2016-01-23 05:00:00,3564.76,0.0,0.0,0.0,816.4138989327917,0.0,0.0,0.0,187.78203368906955,972.7820336890695,1587.7820336890695
2016-01-23 06:00:00,3917.24,0.0,0.0,0.0,915.4863761742807,0.0,0.0,0.0,272.25120794190633,1057.2512079419064,1672.2512079419064
2016-01-23 07:00:00,4260.78,0.0,2.0279757044092412,0.0,1026.067923160338,0.0,0.0,0.0,349.2280337117508,1134.2280337117509,1749.2280337117509
2016-01-23 08:00:00,4461.7,0.0,23.434385917617902,0.0,1143.9929437520716,0.0,0.0,0.0,369.75755677677023,1154.7575567767701,1769.7575567767701
2016-01-23 09:00:00,4580.39,0.0,72.78179472490945,0.0,1009.8349815056857,556.0308748941939,0.0,0.0,252.2474496250702,1037.2474496250702,1652.2474496250702
2016-01-23 10:00:00,4615.2,0.0,173.729918677725,0.0,1166.7104732105665,556.0308748941939,0.0,0.0,177.9095777391713,962.9095777391714,1577.9095777391713
2016-01-23 11:00:00,4488.41,0.0,312.0829278451999,0.0,1193.421821647587,556.0308748941939,0.0,0.0,80.62479187100661,865.6247918710066,1480.6247918710067
2016-01-23 12:00:00,4397.37,0.0,454.2665577876701,0.0,1173.4097824648675,556.0308748941939,0.0,0.0,9.55426161775617,794.5542616177562,1409.5542616177563
2016-01-23 13:00:00,4299.46,0.0,458.77317046413503,0.0,1126.1281190739357,556.0308748941939,0.0,0.0,-8.824054810754955,776.175945189245,1391.175945189245
2016-01-23 14:00:00,4283.99,0.0,252.5956405158622,0.0,1097.3983890026068,556.0308748941939,0.0,0.0,64.32169852911234,849.3216985291123,1464.3216985291124
2016-01-23 15:00:00,4496.42,0.0,25.011700354380647,0.0,794.6411438563133,556.0308748941939,0.0,0.0,311.9120936317041,1096.9120936317042,1711.9120936317042
2016-01-23 16:00:00,5017.74,0.0,0.0,0.0,1079.8341743551123,556.0308748941939,0.0,0.0,398.9583169168979,1183.958316916898,1798.958316916898
2016-01-23 17:00:00,4912.93,0.0,0.22533063382324905,0.0,1051.5768314747918,556.0308748941939,0.0,0.0,373.3656543323971,1158.365654332397,1773.365654332397
2016-01-23 18:00:00,4537.33,0.0,0.0,0.0,1119.4288098196348,556.0308748941939,0.0,0.0,225.623438428724,1010.623438428724,1625.623438428724
2016-01-23 19:00:00,4198.46,0.0,0.0,0.0,1153.0541889614146,556.0308748941939,0.0,0.0,101.45831204813048,886.4583120481306,1501.4583120481304
2016-01-23 20:00:00,3962.74,0.0,0.0,0.0,1382.4196423410392,556.0308748941939,0.0,0.0,-53.57017241174439,731.4298275882556,1346.4298275882556
2016-01-23 21:00:00,3705.95,0.0,0.0,0.0,1697.8025087742842,556.0308748941939,0.0,0.0,-244.29446122282604,540.705538777174,1155.705538777174
2016-01-23 22:00:00,3433.85,0.0,0.0,0.0,1646.35524924446,0.0,0.0,0.0,-132.50174974815343,652.4982502518466,1267.4982502518467
2016-01-23 23:00:00,3235.84,0.0,0.0,0.0,1642.4902631362095,0.0,0.0,0.0,-197.21675437873648,587.7832456212635,1202.7832456212636
2016-01-24 00:00:00,3100.36,0.0,0.0,0.0,1620.5457308993648,0.0,0.0,0.0,-235.06191029978822,549.9380897002118,1164.9380897002118
